sku,name_ar,name_en,description_ar,description_en,brand_slug,category_slug,base_price_egp,vat_exempt,authenticity,specs_json,status
HP-CF259A,خرطوشة تونر HP 59A أصلية أسود,HP 59A Black Original Toner Cartridge,تونر أصلي من HP لطابعات LaserJet Pro M404 / M428. إنتاجية حتى 3000 صفحة.,Genuine HP toner for LaserJet Pro M404 / M428. Up to 3000 pages.,hp,toner-cartridges,2950,false,GENUINE,"{""pageYield"":""3000 pages"",""color"":""Black""}",ACTIVE
HP-CF258A,خرطوشة تونر HP 58A أصلية أسود,HP 58A Black Original Toner Cartridge,تونر أصلي لطابعات HP M404 / M304. إنتاجية 3000 صفحة.,Genuine HP toner for M404 / M304 series. 3000 page yield.,hp,toner-cartridges,2850,false,GENUINE,"{""pageYield"":""3000 pages"",""color"":""Black""}",ACTIVE
HP-W1350A,خرطوشة تونر HP 135A أصلية أسود,HP 135A Black Original Toner Cartridge,تونر HP 135A لطابعات MFP M140 / M209. إنتاجية 1100 صفحة.,HP 135A toner for MFP M140 / M209. 1100 page yield.,hp,toner-cartridges,1850,false,GENUINE,"{""pageYield"":""1100 pages"",""color"":""Black""}",ACTIVE
HP-CE285A,خرطوشة تونر HP 85A أصلية أسود,HP 85A Black Original Toner Cartridge,تونر لطابعات LaserJet Pro P1102 / M1132. إنتاجية 1600 صفحة.,Toner for LaserJet Pro P1102 / M1132. 1600 pages.,hp,toner-cartridges,2150,false,GENUINE,"{""pageYield"":""1600 pages"",""color"":""Black""}",ACTIVE
HP-CF283A,خرطوشة تونر HP 83A أصلية أسود,HP 83A Black Original Toner Cartridge,تونر 83A لطابعات LaserJet Pro M125 / M127 / M201.,HP 83A for LaserJet Pro M125 / M127 / M201.,hp,toner-cartridges,2050,false,GENUINE,"{""pageYield"":""1500 pages"",""color"":""Black""}",ACTIVE
HP-CF279A,خرطوشة تونر HP 79A أصلية أسود,HP 79A Black Original Toner Cartridge,تونر 79A لطابعات M12 / M26 / MFP M26.,HP 79A for M12 / M26 / MFP M26.,hp,toner-cartridges,1950,false,GENUINE,"{""pageYield"":""1000 pages"",""color"":""Black""}",ACTIVE
HP-CC530A,خرطوشة تونر HP 304A أسود أصلية,HP 304A Black Original Toner Cartridge,تونر أسود لطابعات ColorLaserJet CP2025.,Black toner for ColorLaserJet CP2025.,hp,toner-cartridges,3950,false,GENUINE,"{""pageYield"":""3500 pages"",""color"":""Black""}",ACTIVE
HP-CC531A,خرطوشة تونر HP 304A سيان أصلية,HP 304A Cyan Original Toner Cartridge,تونر سيان لطابعات ColorLaserJet CP2025.,Cyan toner for ColorLaserJet CP2025.,hp,toner-cartridges,4250,false,GENUINE,"{""pageYield"":""2800 pages"",""color"":""Cyan""}",ACTIVE
HP-CC532A,خرطوشة تونر HP 304A أصفر أصلية,HP 304A Yellow Original Toner Cartridge,تونر أصفر لطابعات ColorLaserJet CP2025.,Yellow toner for ColorLaserJet CP2025.,hp,toner-cartridges,4250,false,GENUINE,"{""pageYield"":""2800 pages"",""color"":""Yellow""}",ACTIVE
HP-CC533A,خرطوشة تونر HP 304A ماجنتا أصلية,HP 304A Magenta Original Toner Cartridge,تونر ماجنتا لطابعات ColorLaserJet CP2025.,Magenta toner for ColorLaserJet CP2025.,hp,toner-cartridges,4250,false,GENUINE,"{""pageYield"":""2800 pages"",""color"":""Magenta""}",ACTIVE
HP-CC530A-COMP,خرطوشة تونر HP 304A أسود متوافقة,HP 304A Black Compatible Toner,بديل متوافق عالي الجودة يحل محل HP CC530A.,High-quality compatible replacement for HP CC530A.,hp,toner-cartridges,1650,false,COMPATIBLE,"{""pageYield"":""3000 pages"",""color"":""Black""}",ACTIVE
HP-CF259A-COMP,خرطوشة تونر HP 59A أسود متوافقة,HP 59A Black Compatible Toner,بديل متوافق لـ HP 59A. إنتاجية 3000 صفحة.,Compatible replacement for HP 59A. 3000 pages.,hp,toner-cartridges,1250,false,COMPATIBLE,"{""pageYield"":""3000 pages"",""color"":""Black""}",ACTIVE
CANON-CRG-FX9,خرطوشة تونر Canon FX-9 أصلية أسود,Canon FX-9 Black Original Toner,تونر Canon لطابعات L100 / L120 / MF4010.,Canon toner for L100 / L120 / MF4010.,canon,toner-cartridges,1950,false,GENUINE,"{""pageYield"":""2000 pages"",""color"":""Black""}",ACTIVE
CANON-CRG-725,خرطوشة تونر Canon 725 أصلية أسود,Canon 725 Black Original Toner Cartridge,تونر Canon 725 لطابعات LBP6000 / MF3010.,Canon 725 toner for LBP6000 / MF3010.,canon,toner-cartridges,2150,false,GENUINE,"{""pageYield"":""1600 pages"",""color"":""Black""}",ACTIVE
CANON-CRG-737,خرطوشة تونر Canon 737 أصلية أسود,Canon 737 Black Original Toner Cartridge,تونر Canon 737 لطابعات MF211 / MF229dw.,Canon 737 toner for MF211 / MF229dw.,canon,toner-cartridges,2450,false,GENUINE,"{""pageYield"":""2400 pages"",""color"":""Black""}",ACTIVE
